,judul,abstrak,kbk,judul_tokens,abstrak_tokens
225,pengembangan trainer sistem monitoring energi berbasis iot pada pembangkit listrik tenaga surya untuk mata kuliah manajemen energi di jurusan teknik elektro universitas negeri malang,energi listrik di indonesia berasal dari berbagai pembangkit listrik yang tersebar di seluruh indonesia salah satu sumber energi yang digunakan adalah energi surya dengan presentase penggunaan sebesar 0 003 potensi penggunaan energi surya masih sangat besar terutama di indonesia dengan wilayah tropis energi surya juga dapat digunakan dalam pembuatan media pembelajaran berupa trainer berdasarkan observasi trainer yang dilakukan di laboratorium konversi energi jurusan teknik elektro universitas negeri malang terdapat 3 trainer pembangkit listrik tenaga surya namun memiliki kondisi yang kurang layak digunakan pada mata kuliah manajemen energi juga belum terdapat trainer yang dikembangkan untuk mata kuliah tersebut kedua permasalahan tersebut menjadi landasan dilakukannya penelitian pengembangan ini model pengembangan yang digunakan pada penelitian pengembangan trainer sistem monitoring energi berbasis iot ini adalah model pengembangan sugiyono model pengembangan sugiyono terdiri dari 10 tahapan yaitu 1 potensi dan masalah 2 pengumpulan data 3 desain produk 4 validasi desain 5 revisi desain 6 uji coba produk 7 revisi produk 8 uji coba pemakaian 9 revisi produk dan 10 produk akhir proses validasi dilakukan oleh ahli coba produk dan uji kelompok besar pada uji coba pemakaian validasi bertujuan untuk mengukur tingkat kelayakan produk yang dikembangkan,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan,kembang trainer sistem monitoring energi bas iot bangkit listrik tenaga surya mata kuliah manajemen energi jurus teknik elektro universitas negeri malang,energi listrik indonesia asal bangkit listrik sebar indonesia salah sumber energi energi surya presentase guna 0 003 potensi guna energi surya indonesia wilayah tropis energi surya buat media ajar trainer dasar observasi trainer laboratorium konversi energi jurus teknik elektro universitas negeri malang 3 trainer bangkit listrik tenaga surya milik kondisi layak mata kuliah manajemen energi trainer kembang mata kuliah masalah landas laku teliti kembang model kembang teliti kembang trainer sistem monitoring energi bas iot model kembang sugiyono model kembang sugiyono 10 tahap 1 potensi 2 kumpul data 3 desain produk 4 validasi desain 5 revisi desain 6 uji coba produk 7 revisi produk 8 uji coba pakai 9 revisi produk 10 produk proses validasi ahli coba produk uji kelompok uji coba pakai validasi tuju ukur tingkat layak produk kembang
226,perbedaan hasil belajar siswa menggunakan model pembelajaran creative problem solving dan model pembelajaran flipped classroom berbantuan schoology pada mata pelajaran pemrograman dasar kelas x mm di smk negeri 10 malang,pendidikan sebagai salah satu aspek yang sangat penting untuk menentukan kualitas sumber daya manusia suatu bangsa sejalan dengan hal tersebut maka untuk meningkatkan kualitas sdm suatu bangsa maka diperlukan mutu pendidikan yang baik salah satu upaya yang dilakukan untuk meningkatkan kualitas pendidikan ialah dengan menerapkan kurikulum 2013 dimana dalam kurikulum ini bertujuan untuk mendorong keaktifan siswa dalam melakukan mengobservasi meya menalar dan mengkomunikasikan berbagai tujuan dari kurikulum 2013 tersebut dapat tercapai jika pendidik atau guru dapat menciptakan kondisi atau susana pembelajaran yang tepat dan sesuai dengan materi dan kondisi siswa yang diajar banyak model pembelajaran yang ditawarkan untuk menciptakan suasana pembelajaran seperti di atas namun permasalahan kurangnya kemampuan guru dalam mengimplementasikan model pembelajaran sesuai dengan sebagaimana mestinya menjadikan proses pembelajaran tidak berjalan sesuai dengan sintaks atau tahapan yang telah direncanakan permasalahan tersebut juga ditambah dengan sarana prasana yang kurang mendukung sehingga berdampak pada pengetahuan hasil belajar yang diperoleh oleh siswa dimana banyak siswa yang memiliki nilai pengetahuan rendah oleh karena itu diperlukan penerapan model pembelajaran yang sesuai dan pemberian bahan ajar bagi siswa untuk mengatasi permasalahan sarana dan prasana yang di hadapi penelitian ini dimaksudkan dengan tujuan untuk mengetahui perbedaan hasil belajar siswa menggunakan model pembelajaran problem based learning dipadu learning tournament dan model pembelajaran project based learning dipadu learning tournament berbantuan e modul pada mata pelajaran pemrograman dasar kelas x tkj di smk negeri 12 malang penelitian ini merupakan penelitian eksperimen semu quasi experimental design dengan desain pretest posttest,Strategi Pembelajaran Teknologi dan Kejuruan,beda hasil ajar siswa model ajar creative problem solving model ajar flipped classroom bantu schoology mata ajar pemrograman dasar kelas x mm smk negeri 10 malang,didik salah aspek tentu kualitas sumber daya manusia bangsa jalan tingkat kualitas sdm bangsa mutu didik salah upaya tingkat kualitas didik terap kurikulum 2013 mana kurikulum tuju dorong aktif siswa observasi meya nalar komunikasi tuju kurikulum 2013 capai didik guru cipta kondisi susana ajar sesuai materi kondisi siswa ajar model ajar tawar cipta suasana ajar masalah kurang mampu guru implementasi model ajar sesuai mesti jadi proses ajar jalan sesuai sintaks tahap rencana masalah tambah sarana prasana dukung dampak tahu hasil ajar oleh siswa mana siswa milik nilai tahu rendah terap model ajar sesuai beri bahan ajar siswa atas masalah sarana prasana hadap teliti tuju beda hasil ajar siswa model ajar problem based learning padu learning tournament model ajar project based learning padu learning tournament bantu e modul mata ajar pemrograman dasar kelas x tkj smk negeri 12 malang teliti teliti eksperimen semu quasi experimental design desain pretest posttest
227,hubungan antara iklim kelas dan perhatian orang tua terhadap hasil belajar dasar desain grafis siswa kelas x program keahlian sistem informatika dan jaringan aplikasi smk negeri 6 malang,hasil belajar digunakan untuk mengukur batas kemampuan siswa setelah menerima pelajaran hasil belajar dipengaruhi oleh dua faktor yaitu faktor internal seperti kesehatan jasmani dan rohani dan faktor eksternal seperti lingkungan sosial perhatian orang tua dan iklim kelas dari hasil observasi awal terdapat 69 4 siswa program keahlian sija dengan nilai mata pelajaran dasar desain grafis di bawah kkm kemudia dilakukan wawancara dengan siswa yang sebagian menyatakan memiliki hubungan yang kurang baik dengan orang tuanya sehingga mereka pergi sekolah dengan motivasi yang kurang selain kurang mendapatkan motivasi dari orang tua keperluan siswa juga kurang terpenuhi dari hasil pengamatan siswa yang memiliki hubungan kurang baik dengan orang tuanya sering membuat keadaan kelas menjadi kurang kondusif seperti mengganggu siswa lain dan mencari perhatian guru dengan tingkahnya penelitian ini berfokus pada faktor eksternal yang mempengaruhi hasil belajar siswa yaitu iklim kelas dan perhatian orang tua alasan dilakukannya penelitian ini pada smk negeri 6 malang yaitu karena smk tersebut merupakan salah satu smk favorit di kota malang dengan berbagai macam latar belakang siswa selain itu program keahlian sistem informatika dan jaringan aplikasi sija merupakan kompetensi keahlian yang bisa dibilang masih baru karena tahun 2019 merupakan angkatan kedua selebihnya hasil dari penelitian dapat dimanfaatkan untuk evaluasi dari hasil belajar siswa pada smk negeri 6 malang penelitian ini merupakan penelitian kuantitatif dengan menggunakan analisis deskriptif variabel bebas dari penelitian ini yaitu iklim kelas x1 dan perhatian orang tua x2 sedangkan variabel terikatnya adalah hasil belajar dasar desain grafis y untuk populasi dari penelitian yaitu siswa kelas x sija 1 dan sija 2 dikarenakan kesamaan kriteria dari kedua kelas tersebut maka sampel dari penelitian ini adalah siswa kelas x sija 1 untuk pengambilan data pada variabel bebas menggunakan angket kuisioner dengan skala likertrentang empat alternatif jawaban dimana pernyataan pada kuisioner terdapat dua jenis yaitu positif dan negatif sedangkan untuk data hasil belajar dasar desain grafis didapat dari nilai rapor pas semester gasal tahun ajaran 2019 2020 tujuan dari penelitian ini untuk mengetahui ada tidaknya hubungan antara iklim kelas dan perhatian orang tua terhadap ketercapaian hasil belajar dasar desain grafis siswa kelas x porgram keahlian sija di smk negeri 6 malang,Strategi Pembelajaran Teknologi dan Kejuruan,hubung iklim kelas perhati orang tua hasil ajar dasar desain grafis siswa kelas x program ahli sistem informatika jaring aplikasi smk negeri 6 malang,hasil ajar ukur batas mampu siswa terima ajar hasil ajar pengaruh faktor faktor internal sehat jasmani rohani faktor eksternal lingkung sosial perhati orang tua iklim kelas hasil observasi 69 4 siswa program ahli sija nilai mata ajar dasar desain grafis kkm kemudia wawancara siswa milik hubung orang tua pergi sekolah motivasi motivasi orang tua perlu siswa penuh hasil amat siswa milik hubung orang tua kelas kondusif ganggu siswa cari perhati guru tingkah teliti fokus faktor eksternal pengaruh hasil ajar siswa iklim kelas perhati orang tua alas laku teliti smk negeri 6 malang smk salah smk favorit kota malang latar siswa program ahli sistem informatika jaring aplikasi sija kompetensi ahli bilang 2019 angkat lebih hasil teliti manfaat evaluasi hasil ajar siswa smk negeri 6 malang teliti teliti kuantitatif analisis deskriptif variabel bebas teliti iklim kelas x1 perhati orang tua x2 variabel ikat hasil ajar dasar desain grafis populasi teliti siswa kelas x sija 1 sija 2 sama kriteria kelas sampel teliti siswa kelas x sija 1 ambil data variabel bebas angket kuisioner skala likertrentang alternatif mana nyata kuisioner jenis positif negatif data hasil ajar dasar desain grafis nilai rapor pas semester gasal ajar 2019 2020 tuju teliti tidak hubung iklim kelas perhati orang tua capai hasil ajar dasar desain grafis siswa kelas x porgram ahli sija smk negeri 6 malang
228,perbandingan penerapan model vct dipadu strategi murder dan model vct dipadu strategi metakognitif pengaruhnya terhadap hots titl pada siswa kelas xi titl di smk islam 1 blitar,penelitian ini dilatarbelakangi oleh rendahnya proses berpikir peserta didik untuk situasi yang kompleks dan memiliki banyak variable penelitian ini bertujuan untuk mengetahui perbedaan model vct value clarification technique dipadukan strategi pembelajaran metakognitif dan model vct value clarification technique dipadukan strategi pembelajaran murder mood understand recall degest expand review pengaruhnya terhadap higher order thingking skills hots teknik instalasi tenaga listrik pada kelas xi di smk islam 1 blitar strategi metakognitif dalam pembelajaran meliputi tiga tahap yaitu merancang apa yang dipelajari memantau perkembangan diri dalam belajar dan menilai apa yang dipelajari pembelajaran dengan menggunakan strategi murder menurut ardha 2006 sangat berguna untuk membantu para siswa dalam mengembangkan sistem belajar yang efektif dan efisien strategi pembelajaran ini diharapkan dapat menciptakan kegiatan efektif untuk meningkatkan partisipasi siswa di dalam proses pembelajaran melalui tahapan tahapan yang ada strategi ini juga diharapkan akan dapat membantu siswa untuk meningkatkan pemahaman konsep yang dipelajari melatih siswa berpikir analitis dan mengembangkan kemampuan berpikir analitis djahiri 1979 115 mengemukakan bahwa value clarification technique merupakan sebuah cara bagaimana meamkan dan mennggali mengungkapkan nilai nilai tertentu dari diri peserta didik karena itu pada prosesnya vct berfungsi untuk a mengukur atau mengetahui tingkat kesadaran siswa tentang suatu nilai b membina kesadaran siswa tentang nilai nilai yang dimilikinya baik yang positif maupun yang negative untuk kemudian dibina kearah peningkatan atau pembetulannya c meamkan suatu nilai kepada siswa melalui cara yang rasional dan diterima siswa sebagai milik pribadinya dengan kata lain djahiri 1979 116 menyimpulkan bahwa vct dimaksudkan untuk melatih dan membina siswa tentang bagaimana cara menilai mengambil keputusan terhadap suatu nilai umum untuk kemudian dilaksanakannya sebagai warga masyarakatketerampilan berpikir tingkat tinggi higher order thinking skills dalam pembelajaran merupakan aplikasi proses berpikir untuk situasi yang kompleks dan memiliki banyak variabel semua siswa dapat berpikir tetapi kebanyakan dari siswa membutuhkan dorongan dan bimbingan untuk proses berpikir tingkat tinggi,Strategi Pembelajaran Teknologi dan Kejuruan,banding terap model vct padu strategi murder model vct padu strategi metakognitif pengaruh hots titl siswa kelas xi titl smk islam 1 blitar,teliti dilatarbelakangi rendah proses pikir serta didik situasi kompleks milik variable teliti tuju beda model vct value clarification technique padu strategi ajar metakognitif model vct value clarification technique padu strategi ajar murder mood understand recall degest expand review pengaruh higher order thingking skills hots teknik instalasi tenaga listrik kelas xi smk islam 1 blitar strategi metakognitif ajar liput tahap rancang ajar pantau kembang ajar nilai ajar ajar strategi murder ardha 2006 guna bantu siswa kembang sistem ajar efektif efisien strategi ajar harap cipta giat efektif tingkat partisipasi siswa proses ajar tahap tahap strategi harap bantu siswa tingkat paham konsep ajar latih siswa pikir analitis kembang mampu pikir analitis djahiri 1979 115 muka value clarification technique meamkan mennggali nilai nilai serta didik proses vct fungsi ukur tingkat sadar siswa nilai b bina sadar siswa nilai nilai milik positif negative bina arah tingkat betul c meamkan nilai siswa rasional terima siswa milik pribadi djahiri 1979 116 simpul vct latih bina siswa nilai ambil putus nilai laksana warga masyarakatketerampilan pikir tingkat higher order thinking skills ajar aplikasi proses pikir situasi kompleks milik variabel siswa pikir banyak siswa butuh dorong bimbing proses pikir tingkat
229,pengembangan modul pembelajaran animasi 2d dan 3d bermuatan model pembelajaran project based learning untuk siswa smk kompetensi keahlian multimedia,permasalahan dalam pembelajaran merupakan hal yang sering dijumpai pada dunia pendidikan seperti yang ditemukan di smkn 4 malang berdasarkan wawancara dan observasi serta pengamatan langsung pada proses pembelajaran animasi 2d dan 3d masih ditemui permasalahan terkait pelaksanaan pembelajaran oleh guru dan ketuntasan belajar siswa antara lain terdapat kesalahan penyampaian isi materi animasi digital puppeteer belum ada bahan ajar yang digunakan guru dalam pembelajaran animasi digital puppeteer yang sesuai pembelajaran yang dilaksanakan guru belum menunjukkan pembelajaran aktif dimana pemberian tugas hanya diberikan secara verbal dan tidak ada penunjang kegiatan praktik yang diberikan guru kepada siswa serta terdapat beberapa materi yang tidak tersampaikan didalam pembelajaran akibat adanya pemadatan tujuan penelitian ini adalah mengembangkan sebuah modul pembelajaran untuk mata pelajaran animasi 2d dan 3d dengan muatan model project based learning sebagai solusi dari permasalahan yang ada dan memuat teori dan praktik yang menunjang proses belajar siswa proses pengembangan modul pembelajaran menerapkan langkah langkah yang terdapat didalam model research and development rd sugiyono dengan subjek penelitian yaitu siswa kompetensi keahlian multimedia smkn 4 malang uji coba yang dilakukan dalam penelitian adalah untuk melihat tingkat kelayakan produk dengan melakukan validasi kepada ahli materi dan ahli media pengumpulan data penelitian dilakukan menggunakan angket dan data yang dihasilkan berupa data kuantitatif sehingga teknik analisis data yang digunakan adalah teknik deskriptif kuantitatif pada penelitian ini uji coba dilakukan sampai pada uji coba pemakaian produk untuk mendapatkan hasil belajar siswa,Strategi Pembelajaran Teknologi dan Kejuruan,kembang modul ajar animasi 2d 3d muat model ajar project based learning siswa smk kompetensi ahli multimedia,masalah ajar jumpa dunia didik temu smkn 4 malang dasar wawancara observasi amat langsung proses ajar animasi 2d 3d temu masalah kait laksana ajar guru tuntas ajar siswa salah sampai isi materi animasi digital puppeteer bahan ajar guru ajar animasi digital puppeteer sesuai ajar laksana guru ajar aktif mana beri tugas verbal tunjang giat praktik guru siswa materi dalam ajar akibat madat tuju teliti kembang modul ajar mata ajar animasi 2d 3d muat model project based learning solusi masalah muat teori praktik tunjang proses ajar siswa proses kembang modul ajar terap langkah langkah dalam model research development rd sugiyono subjek teliti siswa kompetensi ahli multimedia smkn 4 malang uji coba teliti tingkat layak produk validasi ahli materi ahli media kumpul data teliti angket data hasil data kuantitatif teknik analisis data teknik deskriptif kuantitatif teliti uji coba uji coba pakai produk hasil ajar siswa
231,perbandingan model pembelajaran challenge based learning cbl dan model pembelajaran guided inquiry terhadap hasil belajar komputer dan jaringan dasar siswa kelas x tkj di smk negeri 11 malang,teknologi sangat penting dalam ilmu pendidikan kegiatan berkomunikasi kolaborasi dan belajar semakin dimudahkan di abad 21 proses pembelajaran yang berlangsung di sekolah perlu diperhatikan untuk meningkatkan kualitas pendidikan hal ini berguna untuk mempersiapkan siswa agar dapat bekerja sesuai bidang keahliaannya dan siap menghadapi tantangan dunia kerja penelitian ini bertujuan untuk 1 mengetahui keaktifan belajar dan hasil belajar kognitif komputer dan jaringan dasar siswa yang diajar menggunakan model pembelajaran challenge based learning cbl 2 mengetahui keaktifan belajar dan hasil belajar kognitif komputer dan jaringan dasar siswa yang diajar menggunakan model pembelajaran guided inquiry 3 mengetahui perbedaan keaktifan belajar dan hasil belajar kognitif komputer dan jaringan dasar siswa yang menggunakan model pembelajaran challenge based learning cbl dan model pembelajaran guided inquiry rancangan penelitian yang digunakan adalah rancangan eksperimen semu quasi experiment research dengan desain penelitian pretest posttest control group design subjek penelitian adalah siswa kelas x tkj smkn 11 malang instrumen pengukuran berupa post test untuk hasil belajar dan lembar observasi untuk keaktifan belajar aspek yang diukur adalah aspek kognitif uji hipotesis dilakukan dengan teknik independent sample t test untuk hasil belajar dan lembar observasi untuk keaktifan belajar berbantuan software spss berdasarkan analisa diperoleh hasil terdapat perbedaan yang signifikan penerapan model challenge based learning dan guided inquiry terhadap keaktifan belajar dan hasil belajar,Strategi Pembelajaran Teknologi dan Kejuruan,banding model ajar challenge based learning cbl model ajar guided inquiry hasil ajar komputer jaring dasar siswa kelas x tkj smk negeri 11 malang,teknologi ilmu didik giat komunikasi kolaborasi ajar mudah abad 21 proses ajar sekolah perhati tingkat kualitas didik guna siswa sesuai bidang keahliaannya hadap tantang dunia kerja teliti tuju 1 aktif ajar hasil ajar kognitif komputer jaring dasar siswa ajar model ajar challenge based learning cbl 2 aktif ajar hasil ajar kognitif komputer jaring dasar siswa ajar model ajar guided inquiry 3 beda aktif ajar hasil ajar kognitif komputer jaring dasar siswa model ajar challenge based learning cbl model ajar guided inquiry rancang teliti rancang eksperimen semu quasi experiment research desain teliti pretest posttest control group design subjek teliti siswa kelas x tkj smkn 11 malang instrumen ukur post test hasil ajar lembar observasi aktif ajar aspek ukur aspek kognitif uji hipotesis teknik independent sample test hasil ajar lembar observasi aktif ajar bantu software spss dasar analisa oleh hasil beda signifikan terap model challenge based learning guided inquiry aktif ajar hasil ajar
232,perancangan sistem pakar diagnosa dini penyakit jantung dengan metode foward chaining,penyakit jantung merupakan penyakit yang sulit didiagnosis dan teridentifikasi jika sudah parah hal ini membuat penyakit jantung menjadi penyebab kematian tertinggi organisasi kesehatan dunia who melaporkan bahwa 70 kematian terjadi pada subjek umur kurang dari 70 tahun di negara berkembang disebabkan oleh penyakit jantung dewasa ini ada kebutuhan untuk solusi efektif untuk identifikasi resiko dini penyakit ini pedoman klinis terkomputerisasi dapat memberikan manfaat pada hasil dan biaya kesehatan pada penerapannya diperlukan dapat menyelidiki masalah yang lebih signifikan dan akurat salah satu solusi efektif adalah mencapai trade off yang optimal karena selama ini masih memiliki ambiguitas diagnosis sehingga perlu adanya uji klinis memerlukan waktu yang lebih lama dalam pengambilan keputusan ambiguitas data dan pengambilan keputusan akan lebih efisien dengan mengembangkan integerasi dengan kecerdasan buatan dalam penelitian ini pendekatan teknologi clinical decision support system cdss untuk diagnosis dini penyakit jantung dengan metode foward chaining dalam clinical decision support system cdss dilengkapi dengan perangkat mikrokontroler sebagai pusat pengolah data dan tempat ditanamkanya kecerdasan buatan serta menggunakan sensor sebagai uji klinis objektif,Biomedic and Intelligent Assistive Technology (TAT),ancang sistem pakar diagnosa sakit jantung metode foward chaining,sakit jantung sakit sulit diagnosis identifikasi parah sakit jantung sebab mati tinggi organisasi sehat dunia lapor 70 mati subjek umur 70 negara kembang sebab sakit jantung dewasa butuh solusi efektif identifikasi resiko sakit pedoman klinis komputerisasi manfaat hasil biaya sehat terap selidik signifikan akurat salah solusi efektif capai trade optimal milik ambiguitas diagnosis uji klinis ambil putus ambiguitas data ambil putus efisien kembang integerasi cerdas buat teliti dekat teknologi clinical decision support system cdss diagnosis sakit jantung metode foward chaining clinical decision support system cdss lengkap perangkat mikrokontroler pusat olah data ditanamkanya cerdas buat sensor uji klinis objektif
233,pengembangan modul digital mata kuliah sisteminformasi sebagai media belajar mahasiswa si teknikinformatika di teknik elektro universitas negerimalang,modul merupakan salah satu sumber belajar yang disusun secara sistematis dan menarik yang mencakup isi materi metode dan evaluasi yang dapat digunakan secara mandiri untuk mencapai kompetensi yang diharapkan pada proses perkuliahan sistem informasi di jurusan teknik elektro universitas negeri malang memiliki kendala yaitu hasil belajar yang didapat mahasiswa belum maksimal tingkat ketuntasan hasil belajar baru mencapai 80 buku rujukan yang digunakan dalam proses perkuliahan saat ini masih belum terstruktur dan sulit dipahami oleh karena itu dalam proses pengantar teknologi informasi di jurusan teknik elektro universitas negeri malang dibutuhkan sumber belajar yang menarik dan mudah dipahami oleh mahasiswa model pengembangan modul digital ini menggunakan model pengembangan sugiyono model pengembangan ini memiliki sepuluh tahapan yaitu 1 potensi dan masalah 2 pengumpulan data 3 desain produk 4 validasi desain 5 revisi desain 6 uji coba produk 7 revisi produk 8 uji coba pemakaian 9 revisi produk 10 produksi masal hasil akhir dari pengembangan ini berupa modul digital sistem informasi yang telah disesuaikan dengan satuan acara perkuliahan sap,Strategi Pembelajaran Teknologi dan Kejuruan,kembang modul digital mata kuliah sisteminformasi media ajar mahasiswa si teknikinformatika teknik elektro universitas negerimalang,modul salah sumber ajar susun sistematis tarik cakup isi materi metode evaluasi mandiri capai kompetensi harap proses kuliah sistem informasi jurus teknik elektro universitas negeri malang milik kendala hasil ajar mahasiswa maksimal tingkat tuntas hasil ajar capai 80 buku rujuk proses kuliah struktur sulit paham proses antar teknologi informasi jurus teknik elektro universitas negeri malang butuh sumber ajar tarik mudah paham mahasiswa model kembang modul digital model kembang sugiyono model kembang milik puluh tahap 1 potensi 2 kumpul data 3 desain produk 4 validasi desain 5 revisi desain 6 uji coba produk 7 revisi produk 8 uji coba pakai 9 revisi produk 10 produksi masal hasil kembang modul digital sistem informasi sesuai satu acara kuliah sap
234,perbandingan keaktifan dan hasil belajar siswa mata pelajaran pemrograman dasar karena penerapan model pembelajaran pjbl dengan metode drill dibandingkan dengan model cooperative learning dengan metode think pair share pada siswa kelas x tkj smk negeri 1 kepanjen,permrograman dasar adalah salah satu mata pelajaran yang sampai saat ini masih dianggap sebagai mata pelajaran yang sulit dan membosankan bagi sebagian besar siswa hal ini tentunya membuat siswa merasa malas dan tidak bergairah dalam mengikuti proses pembelajaran ditambah lagi dengan penerapana model pembelajaran project based learning yang tidak sesuai oleh guru serta tidak mampu melibatkan siswa untuk berinteraksi secara langsung dalam proses pembelajaran mengakibatkan siswa semakin pasif dalam mengikuti proses belajar mengajar hal tersebut kemudian berimbas pada hasil belajar pemrograman dasar yang diperoleh siswa nilai rata rata hasil belajar siswa berada di bawah nilai kriteria ketuntasan minimal kkm yang ditetapkan oleh pihak sekolah penerapan model serta metode pembelajaran yang tepat dan sesuai dengan kompetensi yang diajarkan mampu mempengaruhi keaktifan serta hasil belajar siswa salah satu alternatif model pembelajaran yang dapat diterapkan pada mata pelajaran pemrograman dasar untuk meningkatkan keaktifan serta hasil belajar siswa adalah model pembelajaran pjbl dengan metode drill dan juga model cooperative learning dengan metode think pair share kedua model pembelajaran tersebut adalah model pembelajaran kontrutivistik dimana dalam proses pembelajarannya siswa akan dihadapkan pada proyek atau permasalahan nyata dan diminta untuk mencari penyelesaiannya secara berkelompok tujuannya agar membuat siswa lebih aktif dalam berinteraksi baik dengan sesama siswa maupun denga guru sebagai fasilitator sehingga keterlibatan siswa dalam mengikuti proses pembelajaran juga semakin meningkat hal tersebut tentunya akan berpengaruh juga terhadap meningkatnya hasil belajar yang diperoleh siswa penelitian ini bertujuan untuk mengetahui perbedaan keaktifan dan hasil belajar siswa dalam ranah pengetahuan yang belajar menggunakan model pembelajaran pjbl dengan metode drill dan juga model cooperative learning dengan metode think pair share pada mata pelajaran pemrograman dasar penelitian ini menggunakan metode quasi eksperimental dengan pretest posttest control group design desain dalam penelitian ini menggunakan dua kelas kelas komtrol diberi perlakuan dengan model pembelajaran pjbl dengan metode drill sedangkan kelas eksperimen diberi perlakuan dengan model cooperative learning dengan metode think pair share analisis yang digunakan untuk menguji hipotesis dalam penelitian ini adalah uji t dan uji anova dua jalur,Strategi Pembelajaran Teknologi dan Kejuruan,banding aktif hasil ajar siswa mata ajar pemrograman dasar terap model ajar pjbl metode drill banding model cooperative learning metode think pair share siswa kelas x tkj smk negeri 1 kepanjen,permrograman dasar salah mata ajar anggap mata ajar sulit bosan siswa siswa malas gairah ikut proses ajar tambah penerapana model ajar project based learning sesuai guru libat siswa interaksi langsung proses ajar akibat siswa pasif ikut proses ajar ajar imbas hasil ajar pemrograman dasar oleh siswa nilai hasil ajar siswa nilai kriteria tuntas minimal kkm tetap sekolah terap model metode ajar sesuai kompetensi ajar pengaruh aktif hasil ajar siswa salah alternatif model ajar terap mata ajar pemrograman dasar tingkat aktif hasil ajar siswa model ajar pjbl metode drill model cooperative learning metode think pair share model ajar model ajar kontrutivistik mana proses ajar siswa hadap proyek masalah nyata cari selesai kelompok tuju siswa aktif interaksi siswa denga guru fasilitator libat siswa ikut proses ajar tingkat pengaruh tingkat hasil ajar oleh siswa teliti tuju beda aktif hasil ajar siswa ranah tahu ajar model ajar pjbl metode drill model cooperative learning metode think pair share mata ajar pemrograman dasar teliti metode quasi eksperimental pretest posttest control group design desain teliti kelas kelas komtrol laku model ajar pjbl metode drill kelas eksperimen laku model cooperative learning metode think pair share analisis uji hipotesis teliti uji uji anova jalur
235,sistem rekomendasi penjualan game menggunakan metode content based filtering algoritma k means,indonesia adalah negara dengan jumlah penduduk terbesar ke 4 di dunia dengan perkembangan teknologi komputer dan komunikasi yang mendukung perkembangan internet indonesia menjadi salah satu pengguna internet atau yang biasa disebut dengan netter terbesar di dunia salah satu hal yang bisa dilakukan di internet adalah e commerce e commerce sendiri didefinisikan sebagai produksi distribusi pemasaran penjualan atau pengiriman barang dan jasa dengan cara elektronik hal lain yang dapat dilakukan di internet adalah bermain game bermain video game selain untuk mengisi waktu luang juga bisa dimanfaatkan untuk mendapatkan uang saat ini orang orang memanfaatkan game untuk mencari uang dengan cara menjadi pemain professional dan mengikuti pertandingan e sport selain itu orang orang mulai melakukan live stream dengan bermain game hal tersebut membantu perusahaan perusahaan pembuat game untuk memasarkan produknya dengan melalui e commerce produk game yang telah dibangun dapat dipasarkan dengan mudah perusahaan e commerce juga harus dapat mengembangkan aplikasi yang memenuhi kebutuhan banyak pelanggan salah satu solusi dari masalah ini adalah dengan mengembangkan sistem rekomendasi pada aplikasi e commerce tersebut agar membantu pelanggan menentukan dan memilih produk yang sesuai keinginya terdapat beberapa metode dalam pengembangan sistem rekomendasi salah satunya adalah metode content based filtering content based filtering adalah model pengembangan sistem rekomendasi yang lebih menekankan kepada analisis atribut item untuk merekomendasikan item lainnya content based filtering dapat dibuat dengan menggunakan algoritma feature extraction untuk mencari kemiripan pada item atau menggunakan algoritma model probabilistik atau algoritma machine learning pada penelitian ini diusulkan implementasi metode content based filtering dengan algoritma k means dalam sistem rekomendasi penjualan game k means sendiri adalah salah satu model machine learning unsupervised yang biasa digunakan sebagai algoritma pengelompokan dimana data pada penelitian ini tinya akan dibagi menjadi dua kelompok yaitu game yang direkomendasikan dan tidak atribut yang digunakan pada penelitian ini adalah name developer categories steamspy tags short description positive rating negative rating average playtime dan median playtime penelitian ini diharapkan dapan memberikan hasil rekomendasi penjualan game dengan baik dan sesuai,Game Technology and Machine Learning Applications,sistem rekomendasi jual game metode content based filtering algoritma k means,indonesia negara duduk besar 4 dunia kembang teknologi komputer komunikasi dukung kembang internet indonesia salah guna internet netter besar dunia salah internet e commerce e commerce definisi produksi distribusi pasar jual kirim barang jasa elektronik internet main game main video game isi luang manfaat uang orang orang manfaat game cari uang main professional ikut tanding e sport orang orang live stream main game bantu usaha usaha buat game pasar produk e commerce produk game bangun pasar mudah usaha e commerce kembang aplikasi penuh butuh langgan salah solusi kembang sistem rekomendasi aplikasi e commerce bantu langgan tentu pilih produk sesuai keinginya metode kembang sistem rekomendasi salah satu metode content based filtering content based filtering model kembang sistem rekomendasi tekan analisis atribut item rekomendasi item content based filtering algoritma feature extraction cari mirip item algoritma model probabilistik algoritma machine learning teliti usul implementasi metode content based filtering algoritma k means sistem rekomendasi jual game k means salah model machine learning unsupervised algoritma kelompok mana data teliti tinya bagi kelompok game rekomendasi atribut teliti name developer categories steamspy tags short description positive rating negative rating average playtime median playtime teliti harap dap hasil rekomendasi jual game sesuai
