,id,judul,abstrak,kbk
209,217,pengaruh pemanfaatan media pembelajaran audio visual dengan menggunakan model pembelajaran discovery learning untuk meningkatkan hasil belajar peserta didik pada mata pelajaran komputer dan jaringan dasar di smk nu gondanglegi,keberhasilan proses pembelajaran dapat diukur dari bagaimana peserta didik dapat mengikuti suatu mata pelajaran keberhasilan dapat dilihat dari pemahaman materi konsep dan hasil belajar peserta didik maka dari itu seorang guru diharuskan dapat membuat pemeblaajran tersebut lebih menarik salah satu cara yang dapat dilakukan yaitu dengan memperhatikan model dan media yang disampaikan karena hasil osbservasi dan wawancara ditemukan bahwa hasil belajar peserta didik pada mata pelajaran komputer dan jaringan dasar siswa kelas x tkj 1 masih di bawah kkm yaitu nilai yang mencapai kkm sebanyak 35 dan di bawah kkm sebanyak 65 2 guru masih menggunakan media powerpoint dan whiteboardsebagai acuan dalam pembelajaran yang dirasa kurang menarik pada prose spembelajaran 3 guru masih kurang memahami model pemebalajaran discovery learning sehingga proses pembelajaran masih berpusat pada guru yaitu dengan metose ceramah yang mengakibatkan peserta didik pasif dan merasa bosan 4 kompetensi guru dalam mengembangkan media pembelajaran masih rendah dari hasil observasi tersbeut maka sebagai guru seharusnya dapat memanfaatkan media pembelajaran yang suda ada contohnya adalah media audio visual melalui penggunaan media audio visual pesreta didik diharapkan dapat mengamati materi konsep konsep yang terkandung dalam materi pembelajaran dengan pengalaman melalui inderanya sehingga dapat menignkatkan hasil belajar tujuan dari penelitian ini adalah utnuk mengetahui pengaruh pemanfaatan media pembelajaran audio visual dengan menggunakan model pembelajaran discovery learning untuk meningkatkan hasil belajar peserta didik pada mata pelajaran komputer dan jaringan dasar di smkn 2 turen penelitian ini termasuk penelitian kuantitatif dengan menggunakan rancangan penelitian pre experimenta design dengan menggunakan desain one group pretest posttest penelitian ini dilakukan pada peserta didik kelas x tkj 1 di smkn 2 turen dengan jumlah 30 peserta didik pengukuran variabel x dan y menggunakan instrument test yaitu pretest dan posttest,Strategi Pembelajaran Teknologi dan Kejuruan
210,219,pengembangan modul pengantar teknologi informasi bermuatan cooperative learning tipe think pair share tps di jurusan teknik elektro universitas negeri malang,abstrak utomo rivandy p 2020 pengembangan modul pengantar teknologi informasi bermuatan cooperative learning tipe think pair share tps di jurusan teknik elektro universitas negeri malang proposal skripsi jurusan teknik elektro fakultas teknik universitas negeri malang pembimbing 1 dr h hakkun elmunsyah s t m t 2 dila umnia soraya s pd m pd kata kunci pengembangan modul cooperative learning tipe think pair share tps pengantar teknologi informasi pengantar teknologi informasi adalah matakuliah wajib pada semester satu dengan satuan kredit semester sks sebesar 2 dua sks yang wajib ditempuh oleh mahasiswa untuk menyelesaikan program sarjana di program studi s1 pendidikan teknik informatika jurusan teknik elektro fakultas teknik universitas negeri malang saat proses pembelajaran berlangsung dibutuhkan sumber belajar sebagai penunjang pembelajaran saat di kelas maupun di luar kelas modul merupakan salah satu sumber belajar yang tepat karena dapat digunakan secara mandiri saat berada di dalam kelas maupun di luar kelas banyak model pembelajaran yang dapat diterapkan pada modul salah satunya adalah model pembelajaran coooperative learning tipe think pair share tps untuk membantu mahasiswa dalam memahami setiap materi yang dipelajari dalam proses perkuliahan pengembang menggunakan konsep cooperative learning tipe think pair share tps think pair share tps adalah model sederhana tetapi sangatlah bermanfaat yang dikembangkan oleh frank lyman dari maryland model pembelajaran ini dikatakan sederhana namun banyak keuntungannya karena dapat meningkatkan partisipasi mahasiswa dan pembentukan pengetahuan oleh mahasiswa tujuan penelitian pengembangan ini ialah merancang mengembangkan dan menguji tingkat kelayakan modul pengantar teknologi informasi untuk mahasiswa program studi s1 pendidikan teknik informatika jurusan teknik elektro universitas negeri malang metode pengembangan yang digunakan adalah metode pengembangan 4d four d dengan langkah define pendefinisian design perancangan develop pengembangan dan disseminate penyebaran jenis data yang diperoleh berupa data kuantitatif dan kualitatif data kuantitatif diperoleh dari angket tertutup yang disusun dalam skala likert untuk menentukan tingkat kesetujuan atas suatu objek data kuantitatif yang diperoleh kemudian dianalisis menggunakan teknik persentase dengan melihat kriteria validitas yang digunakan sedangkan data kualitatif diperoleh dari tanggapan kritik serta saran yang disusun menggunakan angket terbuka data diperoleh dari angket yang diisi oleh ahli media ahli materi dan mahasiswa program studi s1 pendidikan teknik informatika jurusan teknik elektro universitas negeri malang yang sedang menempuh atau sudah menempuh mata kuliah pengantar teknologi informasi yang digunakan untuk melihat hasil kelayakan dari pengembangan modul,Strategi Pembelajaran Teknologi dan Kejuruan
211,220,hubungan self managerial ability dan technologycal skill dengan kesiapan bekerja sebagai teknisi siswa kelas xii kompetensi keahlian teknik instalasi tenaga listrik se kota malang,perkembangan ilmu pengetahuan dan teknologi iptek berkembangsangat pesat di era revolusi industri 4 0 yang menggabungkan teknologi otomatisasidengan teknologi cyber era revolusi industri 4 0 berpengaruh pada lembagapendidikan yang menuntut peserta didik untuk mampu menyesuaikan diri denganperkembangan teknologi salah satu upaya untuk menyesuaikan kemampuanpeserta didik di dunia usaha dan dunia industri du di yaitu denganmeningkatkan sumber daya smk yang profesional terampil produktif dan kreatif era revolusi industri 4 0 menuntut peserta didik untuk kesiapan bekerja sebagaiteknisi y karena bersaing dengan teknologi mesin industri sudah banyak yangotomatis penelitian ini membahas faktor tentang hubungan self managerialability x1 dan technologycal skill x2 dengan kesiapan bekerja sebagaiteknisi di era revolusi industri 4 0 siswa kelas xii program keahlian teknikinstalasi tenaga listrik se kota malang penelitian ini bertujuan untuk mengetahui 1 deskripsi x1 x2 dan y 2 hubungan parsial antara x1 dengan y 3 hubungan parsial x2 dengan y dan 4 hubungan simultas antara x1 dan x2dengan y,Kurikulum Pendidikan Teknologi dan Kejuruan
212,221,hubungan self determination dan prestasi belajar keterampilan terhadap kemandirian mengambil keputusan karier pada siswa kompetensi keahlian titl smk di kota malang,sekolah menengah kejuruan mempersiapkan siswa dengan pendidikan yang berkualitas mandiri dan produktif untuk mencapai kemandirian mengambil keputusan karier beradsarkan tahapa pada perkembangan zaman penelitian ini membahas beberapa faktor yang mempengaruhi kemandirian mengambil keputusan karier pada siswa kompetensi keahlian titl smk di kota malang yaitu self determination dan prestasi belajar keterampilan penelitian ini bertujuan untuk 1 mendeskripsikan self determination x1 prestasi belajar keterampilan x2 kemandirian mengambil keputusan karier y 2 mengungkap signifikansi dan hubungan x1 dan y 3 mengungkap signifikansi dan hubungan x2 dan y dan 4 mengungkap signifikansi dan hubungan x1 dan x2 secara simultan dengan y metode penelitian yang digunakan merupakan kuantitatif dengan menggunakan rancangan penelitian deskriptif korelasional populasi penelitian yaitu siswa kompetensi keahlian titl smk di kota malang yang telah melaksanakan prakerin sebanyak tiga sekolah berjumlah 95 siswa sampel penelitian menggunakan 95 siswa yang berpedoman pada teknik sampling jenuh pengumpulan data dilakukan menggunakan kuesioner dan dokumentasi teknik analisis menggunakan korelasi parsial dan regresi ganda analisis uji prasyarat dan analisis sumbagan efektif relatif dengan bantuan spss,Kurikulum Pendidikan Teknologi dan Kejuruan
213,222,perbedaan pemahaman konsep dan kemandirian belajar mata pelajaran kerja bengkel dan gambar teknik karena pengaruh penerapan model pembelajaran savi somatic auditory visual intellectual dan model pembelajaran air auditory intellectual repetition pembelajaran daring kelas x tei smkn 2 pasuruan,penelitian ini bertujuan untuk 1 mengetahui perbedaan pemahaman konsep dan kemandirian belajar yang menggunakan model pembelajaran savi somatic auditory visual intellectual dan model pembelajaran air auditory intellectual repetition metode penelitian yang digunakan adalah true eksperimental design dengan pola pretest posttest subyek dalam penelitian ini adalah siswa kelas x tei smkn 1 kepanjen malang kemudian untuk mengetahui perbedaan pemahaman konsep dan kemandirian belajar digunakan teknik analisis uji t hasil penelitian menunjukkan bahwa 1 hasil belajar siswa yang menggunakan model pembelajaran kooperatif savi lebih tinggi secara signifikan dibandingkan dengan hasil belajar siswa yang menggunakan model pembelajaran air 2 keterampilan sosial siswa pada kelas yang menggunakan model pembelajaran kooperatif savi lebih tinggi secara signifikan dibanding kelas yang menggunakan model pembelajaran air dan 3 psikomotorik siswa pada kelas eksperimen yang menggunakan model pembelajaran kooperatif savi lebih tinggi secara signifikan dibandingkan dengan kelas kontrol yang menggunakan model pembelajaran air,Strategi Pembelajaran Teknologi dan Kejuruan
214,223,pengembangan media pembelajaran animasi berbasis tutorial pada mata pelajaran pekerjaan dasar elektromekanik pokok bahasan merakit rangka pelat logam bermuatan problem solving pada siswa kelas x program keahlian titl smkn boyolangu tulungagung,perkembangan media pembelajaran semakin beragam seiring dengan kemajuan teknologi penggunaan media dalam proses pembelajaran juga dapat membangkitkan motivasi keingi dan minat belajar yang baru bagi siswa media pembelajaran berbasis animasi bisa menjadi salah satu pilihan dalam pembelajaran media berbasis animasi juga mampu menampilkan gambaran yang ada materi merakit rangka pelat logam merupakan materi yang sesuai menggunakan media berbasis animasi untuk menyajikan proses perakitan suatu peralatan logam tujuan penelitian dan pengembangan ini adalah mengembangkan media pembelajaran materi merakit rangka pelat logam menggunakan animasi flash player melalui media pembelajaran menggunakan flash player ini siswa dapat melihat proses merakit rangka pelat logam yang disajikan dalam bentuk animasi yang menarik penelitian dan pengembangan media pembelajaran ini menggunakan model pengembangan dari sadiman prosedur pengembangan media pembelajaran yang digunakan ada beberapa tahapan yaitu identifikasi kebutuhan perumusan tujuan perumusan butir butir materi perumusan alat pengukur keberhasilan penulisan naskah tes ujicoba revisi dan produksi pekerjaan dasar elektromekanik pada kelas x jurusan titl smkn 3 boyolangu tulungagung terdapat kompetensi dasar merakit rangka pelat logam pada merakit rangka pelat logam diangkat menjadi sebuah animasi proses atau praktik dari materi tersebut di dalam praktik ketika memiliki kesulitan kesulitan diberikan solusi atau pemecahan masalah sehingga memudahkan dalam memahami materi materi disusun dengan tahapan tahapan secara jelas penelitian pengembangan ini masih banyak kekurangan salah satunya pengembangan hanya terbatas pada merakit rangka pelat logam materi merakit rangka pelat logam terdapat pada mata pelajaran pekerjaan dasar elektromekanik kelas x program keahlian titl,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
215,224,pengembangan sistem informasi rekomendasi belajar berbasis fuzzy tahani untuk mata pelajaran basis data pada siswa kelas xi paket keahlian rpl,pemanfaatan sistem informasi di dunia pendidikan tentunya dapat membantu kegiatan di dalam sekolah guna memperoleh informasi yang lebih cepat berdasarkan hasil observasi di smkn 4 malang dan smkn 1 boyolangu dengan paket keahlian rekayasa perangkat lunak ditemukan bahwa 1 belum adanya tempat untuk belajar online yang cocok sesuai kebutuhan 2 kurangnya sumber belajar dan media dalam pembelajaran tidak menarik 3 buku pegangan yang dimiliki siswa kurang efektif digunakan karena materi banyak berisi tulisan tulisan yang dapat membuat siswa merasa jenuh 4 tuntutan seorang guru yang harus mengerti kebutuhan setiap siswa materi mana yang belum dikuasai dan yang sudah dikuasai guna memanajemen kegiatan pembelajaran di dalam kelas sehingga perlu adanya kolaborasi antara inovasi sistem informasi dengan proses pembelajaran penelitian ini menggabungkan pemanfaatan dari teknologi sistem informasi rekomendasi untuk merekomendasikan materi terbaik yang harus di dipelajari oleh para peserta didik sehingga materi yang disampaikan menjadi tepat sasaran penelitian pengembangan ini memiliki tujuan merancang mengembangkan dan menguji kelayakan sistem informasi rekomendasi belajar berbasis fuzzy tahani untuk mata pelajaran basis data dengan menggunakan model pengembangan waterfall tahapan model pengembangan waterfall adalah 1 software requirements analysis 2 system and design 3 implementation and unit testing 4 integration and system testing 5 operation and maintece sistem rekomendasi yang akan dikembangkan menggunakan algoritma fuzzy tahani uji fungsionalitas pada sistem ini menggunakan pengujian yang telah dikembangkan oleh nielsen 2012 indikator yang digunakan pada pengujian fungsionalitas adalah learnability mudah dipelajari efficiency efisien memorability mudah diingat errors and security pencegahan kesalahan,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
216,225,pengembangan media pembelajaran e book interaktif bermuatan problem based learning untuk memberikan pemahaman konsep kendali motor listrik pada siswa kelas xi titl mata pelajaran iml di smk,pengembangan media pembelajaran e book interaktif ini didasarkan karena dalam mata pelajaran instalasi motor listrik khususnya materi pengendali motor listrik belum terdapat media penunjang pembelajaran seperti trainer media penunjang pembelajaran yang dimaksud selain trainer adalah penggunaan multimedia yang berupa e book interaktif saat ini penggunaan multimedia dalam kegiatan pembelajaran masih belum maksimal sesuai dengan pengamatan yang telah dilakukan pada saat kegiatan kpl di sekolah dari hasil pengamatan kebanyakan peserta didik hanya bergantung dengan apa yang diberikan oleh pendidik penelitian dalam pengembangan media pembelajaran e book interaktif ini bertujuan untuk mengetahui tingkat kelayakan e book interaktif sebagai media pembelajaran selain itu juga untuk mengetahui tingkat pencapaian kompetensi siswa dalam memahami konsep kendali motor listrik media pembelajaran adalah salah satu alat bantu yang digunakan dalam proses belajar mengajar media pembelajaran juga sangat berguna untuk merangsang pikiran perasaan perhatian dan kemampuan atau ketrampilan peserta didik media pembelajaran dapat berupa buku manual buku digital e book trainer dan banyak media lainnya media pembelajaran e book interaktif merupakan sebuah e book yang dikembangkan dalam dunia pendidikan dengan menggabungkan unsur suara dan gerak dalam penyajian materi sehingga membuatnya menjadi menarik dan mudah bagi peserta didik dalam mengingat konsep dari materi yang disampaikan oleh pendidik dengan memanfaatkan e book interaktif tersebut dengan demikian e book interaktif ini dapat dimaknai sebagai e book yang bersifat aktif maksudnya e book didesain dengan mengkombinasikan beberapa media audio video teks atau grafik yang bersifat interaktif untuk mengendalikan suatu perintah atau perilaku alami dari suatu presentasi agar dapat melakukan perintah balik kepada pengguna untuk melakukan suatu aktifitas dalam e book interaktif ini pengguna terlibat interaksi dua arah dengan bahan ajar yang sedang dipelajari penelitian ini menggunakan metode penelitian pengembangan four d models define design develop disseminate metode ini terdiri dari 4 tahap pengembangan yaitu define pendefinisian design perancangan develop pengembangan dan disseminate penyebaran atau diadaptasikan menjadi model 4 d kata kunci pengembangan e book interaktif konsep kendali motor listrik metode four d models define design develop disseminate,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
217,227,pengembangan media pembelajaran motor listrik arusbolak balik ac pada sistem pengelolaan pembelajaran sipejar untuk meningkatkan motivasi belajar pada mata kuliah mesin mesin listrik bagi mahasiswa s1 pendidikan teknik elektro universitas negeri malang,mesin mesin listrik ptel6019 merupakan salah satu mata kuliah wajib bagimahasiswa program studi s1 pendidikan teknik elektro pte jurusan teknik elektro fakultas teknik universitas negeri malang deskripsi isi pembelajaran learningmaterial pada mata kuliah mesin mesin listrik antara lain yaitu 1 menganalisis motorinduksi 3 fasa konstruksi prinsip kerja karakteristik analisa daya dan torsi effisiensi pengaturan kecepatan 2 menganalisis motor induksi satu fasa kontruksi prinsip kerja penggunaan motor universal motor shaded pole dan motor split phase tujuan perkuliahan mesin mesin listrik yaitu mahasiswa mampu menganalisis danmenerapkan penggunaan berbagai macam mesin mesin listrik baik mesin dc maupunmesin ac untuk dapat menguasai kompetensi tersebut mahasiswa harus memiliki salahsatunya motivasi belajar khususnya terkait materi motor ac salah satu cara untukmeningkatkan motivasi belajar adalah dengan memperoleh materi melalui mediapembelajaran yang berbasis online pada sistem pengelolaan pembelajaran sipejar universitas negeri malang berdasarkan observasi pada mata kuliah mesin mesin listrik dan dosen pengampudidapatkan hasil bahwa bahan ajar maupun media yang digunakan untuk materi motorlistrik ac pada saat menempuh mata kuliah tersebut masih kurang oleh karena itu perluadanya pengembangan media pembelajaran mengenai motor listrik ac yang dapatmeningkatkan motivasi belajar serta layak digunakan dalam perkuliahan ini mediayang dikembangkan pada penelitian pengembangan ini adalah mediapembelajaran motor listrik arus bolak balik ac pada sipejar yang diharapkan dapatmempermudah mahasiswa s1 pendidikan teknik elektro untuk mengakses sertameningkatkan motivasi belajarnya media pembelajaran motor listrik ac ini tinyaakan berupa modul tektual jobsheet dan video interaktif mengenai materi motor listrik ac disertai latihan soal dan jobsheet yang dapat diakses mahasiswa secara online padasipejar model pengembangan yang digunakan adalah milik sugiyono yaitu 1 potensidan masalah 2 pengumpulan data 3 desain produk 4 validasi desain 5 uji cobapemakaian 6 revisi desain 7 uji coba produk 8 revisi produk 9 uji coba pemakaian 10 revisi produk dan 11 produk akhir atau produksi masal,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
218,228,analisa dan perancangan high voltage gain transformerless dc dc converter untuk sistem dc microgrid,trend penggunaan energi baru terbarukan di indonesia yang terus meningkat berbanding lurus dengan pengembangan smart grid di indonesia salah satunya yang sudah mulai dikembangkan yaitu sistem microgrid microgrid yang sumber pembangkitannya berupa photovoltaic pv menjadikan dc dc converter salah satu komponen penting terutama untuk sistem dc microgrid karena dc dc converter berfungsi untuk menaikkan tegangan tegangan dari keluaran pv agar sesuai dengan kebutuhan jala jala bus penelitian ini bertujuan untuk menganalisa dan merancang topologi baru dc dc converter tanpa trafo yang memiliki voltage gain yang tinggi yang dapat memperbaiki performa dan keandalan dibanding topologi topologi sebelumnya pada penelitian ini converter berada dalam keadaan ideal ideal state sehingga tidak mempertimbangkan daya yang hilang pada masing masing komponen penelitian ini akan menguji besarnya voltage gain stress tegangan masing masing komponen ripple arus dan ripple tegangan,Intelligent Power Electronics and Smart Grid (IPESG)
219,229,analisa filter pasif untuk harmonisa pada inverter hybrid off grid,pada penelitian ini yaitu berfokus pada filter pasif guna mereduksi harmonisa yang disebabkan pada inverter hybrid off grid pada laboratorium teknik elektro universitas negeri malang beberapa inverter photovoltaic pv yang tersedia secara komersial dengan arus pengenal di bawah 16 a secara sistematis dicirikan dari segi emisi harmonik oleh laboratoriumpengukuran terlihat bahwa emisi inverter saat ini dapat sangat bergantung pada harmonisa tegangan yang ada adanya gangguan harmonisa yang terjadi maka dbutuhkan filter untuk mengurangi hamonisa pada inverter pada penilitian ini menyajikan prosedur desain filter pasif shunt untuk meningkatkan kualitas daya dengan menghilangkan distorsi harmonik yang disebabkan oleh inverter pv percobaan filter pasif yang digunakan yaitu single tuned passive filter stpf dan second order high pass filter sohpf,Intelligent Power Electronics and Smart Grid (IPESG)
220,231,deteksi trotoar dan guide block untuk penyandang tuna netra dengan implementasi image processing menggunakan metode cnn dan tensorflow,deteksi trotoar dan guide block untuk penyandang tuna netra dengan implementasi image processing menggunakan metode cnn dan tensorflow abstrak menurut world health organization who pada tahun 2009 dari 314 juta jiwa yang terdata 45 juta jiwa diantaranya mengalami kebutaan atau tuna netra dan data dari kementrian kesehatan kemenkes republik indonesia pada tahun 2017 dari 250 juta jiwa total masyarakat indonesia 3 750 000 mengalami kebutaan atau tuna netra dimana kondisi penyandang tuna netra sangat membutuhkan alat bantu dalam melakukan aktifitasnya aktifitas yang dimaksud yaitu berjalan di pinggir jalan raya alat bantu yang biasa digunakan oleh penyandang tuna netra yaitu tongkat pemandu dan ubin kuning paving guide block akan tetapi alat bantu tersebut masih memiliki problematika diantaranya penyandang tuna netra yang sangat bergantung pada tongkat pemandu dan tongkat yang tidak bisa mendeteksi secara jelas objek apa yang disentuh khususnya trotoar dan paving guide block dari problematika tersebut diusulkanlah suatu sistem pengenalan citra yang dapat mendeteksi trotoar dan guide block dan tinya akan memberikan informasi berupa suara kepada penyandang tuna netra sistem pengenalan citra menggunakan metode cnn dan tensorflow data yang digunakan berupa citra atau foto berupa trotoar dan guide block pengambilan data dilakukan dengan cara mengambil foto secara horizontal dan vertikal,"Sistem Dinamis, Kendali, dan Robotika (Dynamic Systems, Control and Robotics)"
221,232,pengembangan aplikasi pembelajaran berbasis android pada mata pelajaran sistem komputer dengan menerapkan model pembelajaran accelerated learning untuk memfasilitasi kemandirian belajar siswa kelas x kompetensi keahlian multimedia di smk,berdasarkan observasi secara langsung melihat guru mengajar model serta media pembelajaran yang digunakan guru diperoleh hasil bahwa pembelajaran masih berpusat pada guru siswa bersifat pasif dan lambat dalam pembelajaran pada mata pelajaran sistem komputer siswa merasa kesulitan karena singkatnya penjelasan materi dari guru serta beberapa siswa yang lebih paham materi dengan cara melihat video tutorial dan menginginkan pembelajaran yang tidak konvensional dengan demikian diperlukan media atau aplikasi pembelajaran berbasis android pada mata pelajaran sistem komputer untuk siswa kelas x multimedia smk islam batu sesuai kebutuhan siswa diperlukan uji kelayakan media dan diperlukan uji keefektifan media penelitian terdahulu terkait accelerated learning dengan judul pengaruh metode accelerated learning berbantu jurnal belajar dan geogebra 3d ditinjau dari kemampuan pemahaman matematik terhadap hasil belajar pada ruang dimensi tiga memperoleh hasil posttes nilai rata rata hasil belajar kelas eksperimen 1 82 97 kelas eksperimen 2 81 56 dan kelas kontrol 77 48 dilihat dari hasil belajar kelas ekperimen 1 dan ekperimen 2 lebih tinggi dari kelas kontrol jadi dapat disimpulkan bahwa kemampuan pemahaman siswa metode accelerated learning berbantu jurnal belajar dan geogebra 3d lebih tinggi dari metode konvensional bawono e 2015 model pengembangan aplikasi yang digunakan ini menggunakan model pengembangan pembelajaran addie addie merupakan singkatan dari analysis design development or production implementation or delivery and evaluation yang dikembangkan oleh dick and carry tahun 1996 penelitian ini menggunakan model pembelajaran accelerated learning yaitu percepatan dan peningkatan pembelajaran yang menghasilkan pemahaman atas materi yang disajikan model pembelajaran ini menggunakan pembelajaran secara menyeluruh baik pikiran maupun tubuh sehingga siswa akan terdorong untuk berkreasi djajalaksana 2010 pengembangan aplikasi pembelajaran berbasis android pada mata pelajaran sistem komputer untuk siswa kelas x smk islam batu layak dan efektif digunakan dalam proses pembelajaran karena sesuai dengan karakteristik siswa dan kebutuhan pembelajaran,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
222,233,pengembangan media pembelajaran menggunakan blended learning untuk mata pelajaran animasi 2d dan 3d berbasis website untuk sekolah menengah kejuruan,sesuai dengan tujuan dari smk untuk menciptakan tenaga kerja yang sesuai dengan kebutuhan dunia industri maka smk menyesuaikan dengan dunia kerja yang semakin mengarah pada pemanfaatan berbagai perangkat digital salah satu profesi tersebut adalah animator pekerjaan ini melibatkan seni membuat gambar bergerak atau animasi dalam bentuk 2 dimensi 2d ataupun 3 dimensi 3d oleh karena itu maka smk menyediakan kompetensi keahlian multimedia mm yang memuat mata pelajaran animasi 2d dan 3d hasil observasi dan wawancara informal ditemukan bahwa 1 metode pembelajaran demonstrasi yang diterapkan oleh guru tidak sesuai dengan kebutuhan siswa dan kurang efektif untuk diterapkan 2 tidak ada media yang interaktif yang sesuai kebutuhan dan menarik perhatian siswa membuat kurangnya motivasi siswa dalam mengerjakan tugas 3 dan pembelajaran yang dilakukan cenderung konvensional dan kurang mengikuti teknologi sehingga perlu dikembangkannya sebuah media berbasis website yang menggunakna model pembelajaran blended learning website ini digunakan oleh siswa sebagai media utama yang digunakan dalam pembelajaran yang dilakukan secara tatap muka dan online atau blended learning terdapat empat fitur utama yakni pre test rekomendasi materi dengan diskusi interaktif penugasan dan post test tujuan dari pengembangan ini adalah mendeskripsikan mengembangkan menguji kelayakan dan mengetahui pengaruh dari media ini pada motivasi belajar siswa pengembangan website ini dilakuakan menggunakan model pengembangan addie dan validasinya menggunakan exspert judgement yakni seorang ahli materi dan ahli media sedangkan uji cobanya akan dilakukan pada uji coba kelompok kecil dan kelompok besar responden dari ujicoba ini adalah siswa smk kelas xi multimedia,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
223,234,desain implementasi dan efisiensi topologi dual active switched capasitor quasi z source cascaded h bridge multilevel inverter pada pv on grid,dalam penelitian ini dikembangkanlah topologi baru yang bernama dual active switched capasitor quasi z source cascaded h bridge multilevel inverter dasc qzs cascaded h bridge mli topologi baru ini memiliki boost factor dan voltage gain yang lebih tinggi dari topologi sebelumnya akan tetapi pernyataan tersebut masih sebatas dalam teori bila diaplikasikan dalam bentuk prototipe hasilnya belum tentu mendekati perhitungan hal tersebut desebabkan karena komponen yang digunakan mempunyai nilai equivalent series resistance esr dalam mendesain prototipe bagian gate driver gd merupakan salah satu modul yang mempunyai pera sangat penting dalam menentukan kualitas kerja konverter rangkaian gd dibangun menggunakan ic hcpl j31 dengan suplai daya yang terisolasi dari sistem desain dari gate driver gd dapat mengevaluasi switching loss igbt untuk meningkatkan efisiensi sistem sehingga nilai efisiensi dari inverter ini semakin baik untuk analisis efisiensi dari topologi dasc qzs cascaded h bridge mli parameternya meliputi conduction loss switching loss dan power loss dioda induktor dan kapasitor dalam mengklarifikasikan analisis tersebut akan dibandingkan hasil dari perhitungan dengan simulasi menggunakan software matlab simulink dan prototipe dasc qzs cascaded h bridge mli kata kunci dasc qzs cascaded h bridge mli gate driver hcpl j31 conduction loss switching loss power loss matlab simulink,Intelligent Power Electronics and Smart Grid (IPESG)
224,235,desain dan analisis nonisolated boost converter untuk aplikasi photovoltaic bertingkat,peningkatan kebutuhan energi di indonesia harus diimbangi dengan perkembangan teknolgi pemanfaatan energi terbarukan salah satu energi terbarukan yang memiliki potensi tinggi di indonesia adalah tenaga surya dengan menggunakan sel photovoltaic pv namun penggunaan pv yang disusun seri dapat terganggu jika salah satu panel mengalami penuru tegangan sehingga masih diperlukan peralatan tambahan untuk menghasilkan tegangan yang konstan penambahan dc dc nonisolated boost converter dapat meningkatkan kesetabilan sistem converter yang dipasan seri dengan panel dapat meningkatkan tegangan ketika salah satu tegangan panel drop kata kunci photovoltaic nonisolated boost converter tegangan drop,Intelligent Power Electronics and Smart Grid (IPESG)
225,236,sistem kontrol penghemat daya listrik pada boiler berbasis fuzzy logic mamdani,permintaan dalam dunia industri semakin tahun semakin meningkat khususnya mesin boiler yang menuntun pihak produsen agar berinovasi mengembangkan sistem kontrol boiler berkualitas tinggi juga keterjangkauan dalam suatu pengembangan perlu adanya sebuah kendali yang memback up maupun sinkronisasi secara otomatis tanpa ada operator yang memantau tujuan penelitian ini yaitu mengembangkan inovasi sistem kontrol penghemat daya listrik pada boiler berbasis fuzzy logic guna mengontrol kecepatan motor pada boiler dengan menyesuaikan karakteristik yang diinginkan menggunakan metode mamdani fuzzy logic controller sebagai penyesuaian keadaan pada sensor suhu dan sensor teka keadaan suhu diklarifikasikan dalam 3 keadaan yaitu dingin hangat dan panas sedangkan keadaan teka diklarifikasikan dalam 3 keadaan yaitu teka rendah teka normal teka tinggi dari hasil pengujian didapatkan kondisi rpm aktif ketika 263 3 rpm keadaan sangat panas dan teka tinggi ketika 709 4 rpm keadaan panas dan teka normal dan ketika 1150 rpm dingin dan teka rendah dari hasil pengujian didapatkan bahwa sistem kontrol boiler dengan mengembangkan sistem cerdas dalam boiler dapat bekerja sesuai karakteristik yang diinginkan penggembangan ini diharapkan mengurangi error pada sistem boiler dan dapat diterapkan pada skala industri,"Sistem Dinamis, Kendali, dan Robotika (Dynamic Systems, Control and Robotics)"
