id,judul,abstrak,kbk
259,<p>Desain dan Analisis Luo Converter Self Lift Enhanced untuk MPPT pada Panel Surya</p>,"Luo Converter self lift enhanced dapat meningkatkan tegangan lebih besar dengan duty cycle kecil, dan dengan menggunakan algoritma Queen Honey Bee Migration (QHBM) mengoptimalkan kerja duty cycle untuk mendapatkan Maximum Power Point Tracking (MPPT). Dari penelitian sebelumnya yang menggunakan&nbsp;<font face=""Times New Roman, serif"">&nbsp;</font><span style=""text-align: justify; text-indent: -18pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-size: 1rem; line-height: 107%; font-family: &quot;Segoe UI&quot;, sans-serif; color: rgb(34, 34, 34);"">Ć</span><span style=""text-align: justify; text-indent: -18pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-size: 1rem; font-family: &quot;Segoe UI&quot;, sans-serif;"">uk konverterdengan negatif output yang tidak dapat melihat daya output yang dihasilkan, dengan menggunakan Luo converter self lift positif output yang dapat melihat daya output yang dihasilkan.</span>",Intelligent Power Electronics and Smart Grid (IPESG)
260,<p>Perbandingan Model Pembelajaran <i>Discovery Learning</i> dengan <i>Problem Based Learning</i> Terhadap Hasil Belajar Siswa Kelas X dalam Mata Pelajaran Sistem Komputer Jurusan Rekayasa Perangkat Lunak di SMK Negeri 1 Kepanjen<br></p>,"<p align=""justify"">&nbsp;&nbsp;&nbsp; Pembelajaran yang baik dan sesuai untuk diterapkan pada sekolah di era sekarang merupakan kegiatan belajar mengajar yang bersifat <i>student center</i>. Maksud dari <i>student center</i> sendiri yaitu kegiatan pembelajaran berpusat pada peserta didik sedangkan pendidik hanya bertugas sebagai penyalur informasi dan pemberi motivasi. Di SMK Negeri 1 Kepanjen peserta didik kelas X jurusan rekayasa perangkat lunak memang diajarkan dengan model pembelajaran yang sesuai dengan perkembangan zaman yaitu <i>problem based learning</i>, namun sayangnya penggunaan model pembelajaran tersebut kurang sesuai diterapkan menurut aturan atau kaidah yang berlaku. Hal ini berdampak pada hasil belajar peserta didik yang memiliki rata-rata nilai kurang dari KKM yaitu 75. Melihat hal ini penulis menerapkan model pembelajaran <i>problem based learning</i> dan <i>discovery learning</i> yang sesuai dengan aturan atau kaidah untuk melihat perbandingan terhadap hasil belajar mereka entah itu dari ranah pengetahuan maupun ranah keterampilan.</p><p align=""justify"">&nbsp;&nbsp;&nbsp; Tujuan dari penelitian ini adalah untuk mengetahui perbandingan model pembelajaran <i>discovery learning</i> dengan <i>problem based learning</i> terhadap hasil belajar siswa kelas X jurusan RPL dalam mata pelajaran sistem komputer. Penelitian ini menggunakan <i>quasi experiment design</i> dengan model <i>pretest posttest control group</i>. Populasi yang digunakan adalah seluruh siswa kelas X RPL di SMK Negeri 1 Kepanjen, sedangkan sampel yang digunakan adalah X RPL 2 dan X RPL 3. Perlakuan dari penelitian ini berupa pemberian model pembelajaran yang berbeda sehingga hasil belajar mereka dapat dibandingkan, kelas X RPL 2 menggunakan model pembelajaran <i>discovery learning</i> sedangkan kelas X RPL 3 menggunakan model pembelajaran <i>problem based learning</i>. Analisis statistik yang digunakan yaitu uji-t dimana bertujuan untuk mengetahui perbandingan model pembelajaran yang berbeda terhadap hasil belajar peserta didik.<br></p><p>&nbsp;&nbsp;&nbsp;&nbsp;<br></p>",Strategi Pembelajaran Teknologi dan Kejuruan
261,<p>Kontribusi Model Pembelajaran <i>Challenge Based Learning</i> (CBL) Berbantuan Media Berbasis Flash Terhadap Hasil Belajar Mata Pelajaran Dasar Desain Grafis Siswa Kelas X TKJ di SMKN 1 Pasuruan</p>,"<p style=""text-align: justify; "">&nbsp; &nbsp; Penelitian ini berlatar belakang pada rendahnya nilai hasil belajar yang diperoleh siswa. Siswa yang menjadi objek penelitian yaitu siswa kelas X Teknik Komputer dan Jaringan. Berdasarkan hasil observasi, pembelajaran di SMKN 1 Pasuruan khususnya pada kelas X Teknik Komputer dan Jaringan, seringkali pembelajaran masih terfokuskan pada guru, dan siswa seringkali nampak belum dapat memahami materi yang sudah disampaikan oleh guru di depan kelas. Hal ini berakibat pada&nbsp; rendahnya hasil belajar siswa mata pelajaran dasar desain grafis, dimana jumlah siswa yang mendapatkan hasil belajar diatas Kriteria Ketuntasan Minimal (KKM) hanya 10 dari 36 total jumlah siswa yang ada di kelas. Masalah tersebut dapat diatasi dengan merubah pandangan dari pembelajaran yang berfokus pada guru menjadi pembelajaran yang dipusatkan pada siswa dengan menggunakan model pembelajaran <i>Challenge Based Learning</i> (CBL) dengan berbantuan media <i>flash </i>agar meningkatkan hasil belajar siswa kelas X TKJ SMKN 1 Pasuruan.</p><p style=""text-align: justify; "">&nbsp; &nbsp; Rencana rancangan penelitian yang akan digunakan yaitu rancangan eksperimen semu dengan&nbsp; desain menggunakan <i>pre test</i> dan <i>post test </i>yang diberikan kepada siswa. Populasi pada penelitian ini yaitu siswa kelas X Teknik Komputer dan Jaringan semester 1 SMKN 1 Pasuruan pada mata pelajaran dasar desain grafis.<br></p>",Strategi Pembelajaran Teknologi dan Kejuruan
262,Hubungan Kematangan Kejuruan dan <i>Digital Literacy </i>dengan Kesiapan Berwirausaha diBidang <i>Startup </i>Pada Era Revolusi Industri 4.0 Mahasiswa Pendidikan Teknik Informatika Universitas Negeri Malang,"Revolusi Industri 4.0 menghubungkan manusia, mesin dan data biasa dikenal dengan <i>Internet Of Things (IoT)</i><i>. Internet Of Things </i>sebagai unsur utama dalam revolusi industri 4.0 untuk menjalankan industri yang menggunakan kemampuan <i>artificial intelligence </i>dan <i>autonomus robotic. </i>Dapat dikatakan ketika <i>internet of things </i>tidak ada maka tidak akan terjadinya revolusi industri 4.0. Salah satu dampak kemudahan yang terjadi yaitu munculnya usaha <i>startup. </i>Berdasarkan artikel yang diterbitkan liputan6.com(2019) salah satu langkah pemerintah untuk mengurangi jumlah pengangguran ditingkat universitas di Indonesia adalah berwirausaha sesuai dengan kemampuan dan keahlian yang diambil saat menempuh masa studi. Berdasarkan data awal yang didapatkan pada Februari 2019 mahasiswa Pendidikan Teknik Informatika angkatan 2016 dan 2017 sejumlah 75 sampel diperoleh data sebesar 36.5 memilih menjadi seorang pendidik setelah lulus, 23% memilih melanjutkan studi kejenjang yang lebih tinggi, 21,6% memilih berwirausaha dibidang IT salah satunya di bidang <i>startup</i>, dan 18,9% memilih lainnya.</font></p><p class=""MsoNormal"" style=""line-height:115%""><font face=""Times New Roman, serif"">Kemampuan <i>digital literacy, </i>kematangan kejuruan atau vokasi juga mempengaruhi seorang dalam beberapa aspek yaitu kebutuhan untuk bekerja, pemilihan pekerjaan, aktivitas perencanaan, sikap dalam pengambilan keputusan serta kemampuan untuk bekerja. Adanya <i>digital literacy </i>akan membantu mahasiswa memahami informasi dalam pemanfaatan teknologi untuk menemukan, menggunakan dan menyebarluaskan informasi dalam dunia digital. Kematangan kejuruan menjadi salah satu faktor yang berkaitan dengan kesiapan mahasiswa dala berwirausaha. Pendidikan di Indonesia diharapkan mampu menunjukka produktivitas SDM dengan menyiapkan wirausaha <i>startup </i>yang dilakukan secara lengkap.</font></p><p class=""MsoNormal"" style=""line-height:115%""><font face=""Times New Roman, serif"">Tujuan dari penelitian ini adalah mengetahui tingkat dan signifikansi hubungan kematangan kejuruan(X1) dan <i>digital literacy</i>(X2) dengan kesiapan berwirausaha dibidang <i>startup </i>pada era revolusi industri 4.0(Y) mahasiswa Pendidikan Teknik Informatika Universitas Negeri Malang dan diharapkan minat mahasiswa berwirausaha yang tinggi akan membuat mahasiswa siap melakukan wirausaha di era revolusi industri 4.0, serta mampu menciptakan pendidikan yang menghasilkan SDM yang kompeten. Selain menjadi seorang pendidik mahasiswa mampu menumbuhkan minat berwirausaha secara <i>digital </i>dengan kompetensi keahlian yang telah dimiliki setelah menempuh matakuliah kewirausahaan sebagai modal. Berwirausaha dibidang <i>startup&nbsp;</i>&nbsp;ini juga mampu mengurangi pengangguran yang disebabkan tidak adanya keingingan mahasiswa untuk menjadi pendidik atau disebabkan hal lain,</font></p><p class=""MsoNormal"" style=""line-height:115%""><font face=""Times New Roman, serif"">Dalam penelitian ini menggunakan rancangan penelitian deskriptif korelasional yang termasuk dalam penelitian dengan menggunakan pendekatan kuantitatif. Pengumpulan data dilakukan dengan menggunakan teknik analisis data model statistik dan instrumen yang digunakan untuk mengumpulkan data berupa angket tertutup. Metode dalam penelitian ini menggunakan metode ",Ketenegakerjaan Teknologi dan Kejuruan
264,<p>Prediksi Keberhasilan Musik di Tangga Lagu Menggunakan Permodelan XGBooster</p>,"<p>Musik telah menjadi konsumsi sehari-hari bagi masyarakat dari berbagai usia. Perkembangan dalam industri musik turut melesat dikarenakan permintaan pasar yang menjanjikan. Salah satu faktor yang mendorong pertumbuhan pendapatan tersebut adalah maraknya <i>platform streaming digital</i>. Tingkat keberhasilan suatu musik salah satunya ditandai dengan meroketnya posisi di tangga lagu serta banyaknya jumlah musik diputar. Prediksi mengenai kesuksesan suatu musik merupakan hal yang penting dalam menjaga kompetisi bisnis di antara pertumbuhan industri musik.</p><p>Penelitian ini melakukan eksplorasi pada prediksi kemungkinan popularitas dari suatu musik. Lebih tepatnya, penelitian ini merefleksikan bahwa ada pola dan karakteristik tertentu yang menjadi pengaruh besar dalam keberhasilan musik tersebut (mencapai puncak tangga lagu teratas). Dalam penelitian digunakan dataset FMA (Free Music Archive) yang mencatat <i>tempo, energetic value, dance ability, loudness, liveness, valence, duration, acousticness, speechiness, genre</i>, nilai popularitas lagu, serta <i>artist monthly listeners</i>. Kemudian dilakukan permodelan prediksi keberhasilan musik dengan menggunakan algoritma XGBoost, untuk memprediksi besaran probabilitas keberhasilan musik dari tangga lagu. XGBoost merupakan teknik <i>boosting</i> yang digabungkan dengan <i>gradient descent</i>, terdiri atas kumpulan beberapa <i>classifications and regression trees</i> (CART). Pada penelitian terkait ditemukan bahwasanya XGBoost dapat meningkatkan nilai <i>Area Under Curve</i> (AUC) dengan skala lebih tinggi dibandingkan dengan algoritma <i>Support Vector Machine</i> (SVM). XGBoost dipilih karena memiliki sifat fleksibel dan <i>versatile</i>, serta dapat digunakan untuk menangani hampir semua kasus regresi, klasifikasi, dan <i>ranking </i>dalam implementasi skala besar. Diharapkan ke depannya penelitian ini dapat membantu label-label musik pada proses aransemen lagu, khususnya <i>self producer</i> atau <i>indie</i>, dalam melakukan pertimbangan perilisan suatu musik serta pemilihan vokalis yang tepat.</p>",Game Technology and Machine Learning Applications
265,"<p><span lang=""EN-US"" style=""font-size:12.0pt;line-height: 107%;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;mso-fareast-font-family:Calibri; mso-fareast-theme-font:minor-latin;mso-ansi-language:EN-US;mso-fareast-language: EN-US;mso-bidi-language:AR-SA"">Pengembangan Media Pembelajaran Berbasis <i>Gamification</i> Bermuatan <i>Challenge Based Learning</i> Pada Mata Pelajaran Dasar Desain Grafis Untuk Meningkatkan Minat Belajar Siswa kelas X Multimedia di SMKN 2 Singosari.</span><br></p>","<div><font face=""Times New Roman, serif"">Perkembangan zaman semakin pesat seiring dengan berjalannya waktu. Perkembangan ini berdampak dalam segala hal, seperti segala kegiatan yang dilakukan secara konvensional mulai dapat dilakukan secara otomatisasi dan dibantu baik oleh mesin maupun oleh aplikasi.</font></div><div><font face=""Times New Roman, serif""><br></font></div><div><font face=""Times New Roman, serif"">Perkembangan zaman ini berpengaruh kepada seluruh sektor ekonomi di Indonesia. Tidak hanya berpengaruh pada sektor ekonomi saja, tetapi juga berdampak pada bidang pendidikan. Kegiatan pembelajaran dahulu hanya dapat dilakukan dengan cara konvensional saja dengan menggunakan papan tulis dan buku sebagai media belajar, namun kini kegiatan pembelajaran juga telah dapat didukung dengan aplikasi yang dapat disematkan di komputer bahkan dapat disematkan di <i>smartphone</i>. Dengan adanya perkembangan zaman ini tentu dapat memberikan kemudahan bagi siapapun dalam melaksanakan kegiatan belajar.</font></div><div><font face=""Times New Roman, serif""><br></font></div><div><font face=""Times New Roman, serif"">Bahan ajar tentu harus disusun dengan sebaik mungkin dan se-efektif mungkin. Tak hanya itu, bahan ajar juga harus disusun semenarik mungkin agar penggunanya tidak merasa bosan dengan bahan ajar tersebut. Tenaga pengajar kini mulai menggunakan media belajar yang memanfaatkan komputer dan <i>smartphone</i>.</font></div><div><font face=""Times New Roman, serif""><br></font></div><div><font face=""Times New Roman, serif"">Namun hal yang terjadi disekitar kita, banyak media belajar yang telah memanfaatkan komputer dan <i>smartphone </i>sebagai media belajar tetapi kurang memperhatikan segi daya tarik dari media tersebut yang menyebabkan penggunanya terlalu cepat merasakan bosan dengan media tersebut.</font></div><div><font face=""Times New Roman, serif""><br></font></div><div><font face=""Times New Roman, serif"">Tujuan dari judul skripsi ini adalah untuk meningkatkan minat belajar siswa dengan mengembangkan media belajar berbasis gamifikasi agar siswa lebih mudah memahami materi yang akan dipelajari serta tidak mudah merasa bosan dengan menggunakan bahan ajar ini. Produk yang dihasilkan ialah berupa aplikasi pembelajaran pada <i>smartphone</i>.</font></div>",Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
266,"<p>Klasifikasi Kualitas Buah Stroberi Berdasarkan Ukuran, warna dan Bentuk Menggunakan Metode Naive Bayes</p>","<p style=""text-align: justify; line-height: 1.5;"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size: 12px;"">Buah Stroberi merupakan buah yang berasal dari daerah pegunungan Chili, Amerika Latin. Buah ini juga dapat dibudidayakan di Indonesia, salah satunya terdapat pada daerah Bumiaji, Kota Batu. Buah Stroberi yang dibudidayakan di Kota Batu memliki jenis yang sangat beragam, salah satunya Stroberi California. Stroberi California merupakan jenis stroberi yang sangat mudah ditemukan di area Malang Raya dan sekitarnya. Stroberi California memiliki ukuran yang tergolong sedang, rasa buah yang cenderung manis asam dan bentuk buah cenderung bulat.</span></p><p style=""text-align: justify; line-height: 1.5;"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size: 12px;"">Pengklasifikasian kualitas buah stroberi oleh petani menggunakan cara yang masih manual dalam memperkirakan ukuran, warna dan bentuk buah stroberi. Berdasarkan latar belakang masalah tersebut maka dibutuhkan aplikasi pemrosesan citra digital sebagai alat bantu pengklasifikasian kualitas buah stroberi berdasarkan ukuran, warna dan bentuk stroberi. penentuan ukuran menggunakan segmentasi citra dan menghitung luas, penentuan warna menggunakan ekstraksi ciri warna dengan kadar nilai mean RGB, dan penentuan bentuk menggunakan deteksi tepi canny</span></p><p style=""text-align: justify; line-height: 1.5;"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size: 12px;"">Proses pengklasifikasian kualitas buah stroberi menggunakan algoritma <i>Naive Bayes</i></span><span style=""font-size: 12px;""><i>.</i>&nbsp;Kualitas buah stroberi terdiri dari&nbsp; A+, A, B, dan C berdasarkan dari petani buah stroberi. Proses klasifikasi diperoleh dari nilai hasil ekstraksi ukuran, kadar warna dan bentuk, kemudian menghitung nilai probabilitas data uji dan data latih dengan rumus teorema bayes. Penggunaan metode <i>naive bayes</i> pada penelitian ini dapat menangani data kuantitatif dan diskrit, data latih yang diperlukan untuk mengestimasi parameter - parameter untuk diklasifikasikan tidak memerlukan jumlah yang banyak dan kalkulasi yang cepat. Oleh karena itu peneliti mengusulkan klasifikasi kualitas buah stroberi berdasarkan ukuran, warna dan bentuk menggunakan metode <i>naive bayes</i>.</span></p>",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
267,"<p><font face=""Times New Roman, serif""><span style=""font-size: 14.6667px; letter-spacing: -0.0666667px;"">Pengembangan E-Modul Interaktif Berbasis <i>Mobile </i>pada Mata Pelajaran Informatika Sebagai Media Pembelajaran untuk Meningkatkan Motivasi Belajar Siswa Kelas X di SMK Widyagama Malang</span></font></p>","<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""><font face=""Times New Roman, serif"">Kemajuan teknologi pada era digital saat ini sudah sangat berkembang dengan pesat. Terutama sangat berpengaruh pada seluruh aspek kehidupan salah satunya pada bidang pendidikan. Peran teknologi dalam bidang pendidikan merupakan sesuatu yang sudah lazim. Melalui pemanfaatan penggunaan teknologi yang telah memasuki era Revolusi Industri 4.0 diharapkan dapat mengembangkan sebuah bahan ajar untuk menunjang pembelajaran yang modern. Bahan ajar dalam pembelajaran yang modern relevan dengan implementasi Kurikulum Merdeka Belajar pada Mata Pelajaran Informatika. Mata Pelajaran Informatika merupakan kelompok Mata Pelajaran Kejuruan kelas X di SMK Widyagama Malang.</font></p><p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""><font face=""Times New Roman, serif"">Berdasarkan hasil observasi melalui wawancara dengan guru di SMK Widyagama Malang khususnya pada kelas X Mata Pelajaran Informatika bahan ajar yang digunakan berupa file berbentuk PDF dan media yang digunakan berupa <i>Power Point</i>, pada proses pembelajaran peserta didik mengalami kesulitan dalam memahami materi sehingga siswa memerlukan media penunjang lain berupa bahan ajar interaktif berbasis <i>Mobile</i>&nbsp;untuk meningkatkan motivasi belajar. Potensi yang ada pada saat ini, peserta didik mayoritas menggunakan <i>smartphone</i>. Selain itu, potensi lainnya peserta didik dapat menggunakan aplikasi sebagai bahan pembelajaran. Salah satu solusi dalam mengatasi permasalahan yang terjadi serta membantu peserta didik untuk memahami materi dalam pembelajaran Informatika tersebut adalah mengembangkan bahan ajar E-Modul berbasis <i>Mobile</i>. Selain itu, di dalam bahan ajar tersebut terdapat <i>quiz</i>&nbsp;yang di desain secara menarik sehingga dapat menambah ketertarikan serta motivasi belajar peserta didik pada bahan ajar yang dikembangkan.</font></p><p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""><font face=""Times New Roman, serif"">Metode yang digunakan dalam penelitian ini adalah <i>Research and Development</i>&nbsp;(R&amp;D) dengan model pengembangan ADDIE yang terdiri dari lima tahap, yaitu <i>Analysis, Design, Development Implementation and Evaluation</i>. Pada tahap analisis dilakukan studi literatur dan studi lapangan, kemudian memproduksi media dengan membuat <i>flowchart</i>, dan <i>storyboard</i>. kemudian membuat media sesuai dengan desain yang telah dibuat. Tahap akhir evaluasi dimana media divalidasi oleh guru mata pelajaran sebagai ahli materi dan validasi media sebagai uji kelayakan media.</font></p><p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""><font face=""Times New Roman, serif"">Tujuan penelitian ini adalah mengembangkan produk aplikasi <i>Mobile </i>E-Modul sebagai bahan ajar pembelajaran interaktif Informatika untuk peserta didik di SMK Widyagama Malang kelas X. Kemudian produk diuji cobakan untuk mengetahui kelayakan dan keefektifannya sebagai alternatif bahan pembelajaran Informatika</font></p>",Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
268,"<p>Studi Implementasi Sistem Manajemen Laboratorium Program Keahlian TKJ se-Kota Malang Berdasarkan SNI, Permen, dan Teori Terkait<br></p>","<p>Laboratorium merupakan sarana pendidikan yang penting dalam rangka memenuhi tujuan pendidikan khususnya pendidikan kejuruan. Laboratorium akan berjalan dengan baik apabila sistem manajemennya baik. Pemerintah Republik Indonesia telah mengatur sistem manajemen laboratorium dalam Standart Nasional Pendidikan (SNI) dan Peraturan Mentri (Permen).</p><p>penelitian ini bertujuan untuk mengetahui kondisi sistem manajemen laboratorium di SMK dengan program keahlian TKJ. Program keahlian ini dipilih karena TKJ menjadi salah satu program keahlian yang paling diminati. Selain itu penelitian ini dilakukan untuk mengetahui kesesuaian sistem manajemen yang dilakukan dengan standar yang telah ditetapkan dalam undang-undang serta pengaruhnya terhadap hasil belajar siswa.</p><p>tahapan manajemen yang diambil berdasarkan teori George R. Terry, yaitu : perencanaan, pengorganisasian, pelaksanaan, dan pengawasan. Teori ini digunakan karena dinilai paling efektif dan telah mencakup keseluruhan variabel yang dibutuhkan.<br></p>",Evaluasi dan Pengelolaan Pendidikan Kejuruan
269,"<p><b><span lang=""EN-US""><span style=""mso-bidi-font-style: normal""><span style=""mso-bidi-font-weight:bold"">Pengembangan Modul Digital </span></span></span><span style=""mso-bidi-font-style:normal""><span style=""mso-ansi-language:IN; mso-bidi-font-weight:bold"">Pengemasan Barang Otomatis Dengan</span><span style=""mso-bidi-font-weight:bold"" lang=""EN-US""> Robot Delta Parallel Bermuatan CTL </span></span><span style=""mso-bidi-font-style:normal""><span style=""mso-ansi-language: IN;mso-bidi-font-weight:bold"">Sebagai Media Pembelajaran Untuk</span><span style=""mso-bidi-font-weight:bold"" lang=""EN-US""> Ma</span></span><span style=""mso-bidi-font-style: normal""><span style=""mso-ansi-language:IN;mso-bidi-font-weight:bold"">ta </span><span style=""mso-bidi-font-weight:bold"" lang=""EN-US"">Pel</span></span><span style=""mso-bidi-font-style: normal""><span style=""mso-ansi-language:IN;mso-bidi-font-weight:bold"">ajaran</span><span style=""mso-bidi-font-weight:bold""> <span lang=""EN-US"">Pengendali Sistem Robotik Siswa Kelas XII TEI SMKN 2 Singosari Malang</span></span><span lang=""EN-US""></span></span></b></p>",,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
270,"<p><a name=""_Hlk27631284"" style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-family: &quot;Times New Roman&quot;, serif; text-align: justify; text-indent: -47.2667px;"">Hubungan&nbsp;<i>Social</i>&nbsp;<i>Communication</i>&nbsp;dan&nbsp;<i>Individual Innovation Capability</i>&nbsp;dengan Kemampuan Beradaptasi pada Dunia Kerja di Era Industri 4.0 Siswa Kelas XII Kompetensi Keahlian TEI SMK di Kota Malang.&nbsp;</a><br></p>","SMK merupakan sekolah yang bertanggung jawab untuk mendidik dan mengantarkan siswa menjadi lulusan yang memiliki ketrampilan, khususnya dibidang keteknikan atau keahlian agar mampu menyesuaikan dengan kebutuhan kerja. Berkaitan itu maka dilakukan penelitian bertujuan untuk mendikripsikan tentang tingkat <i>social communication</i>, tingkat <i>individual innovation capability</i>, dan tingkat kemampuan beradaptasi. Untuk mengungkap hubungan antara <i>social communication</i></span><i><span style=""font-size:12.0pt;font-family:&quot;Times New Roman Italic&quot;;mso-bidi-font-family: &quot;Times New Roman Italic&quot;""> </span></i><span style=""font-size:12.0pt;font-family: &quot;Times New Roman&quot;,serif"">dengan kemampuan beradaptasi. Untuk mengungkap hubungan antara <i>individual innovation capability</i> dengan kemampuan beradaptasi. Serta untuk mengungkap hubungan secara simultan antara <i>social communication</i></span><i><span style=""font-size:12.0pt;font-family:&quot;Times New Roman Italic&quot;; mso-bidi-font-family:&quot;Times New Roman Italic&quot;""> </span></i><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,serif"">(X</span><span style=""font-size:8.0pt;font-family:&quot;Times New Roman&quot;,serif"">1</span><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,serif"">) dan <i>individual innovation capability</i> (X</span><span style=""font-size:8.0pt;font-family: &quot;Times New Roman&quot;,serif"">2</span><span style=""font-size:12.0pt;font-family: &quot;Times New Roman&quot;,serif"">) dengan kemampuan beradaptasi di dunia kerja (Y) pada siswa Kompetensi Keahlian TEI kelas XII di Kota Malang.<o:p></o:p></span></p><p class=""MsoNormal"" style=""margin-bottom:0cm;margin-bottom:.0001pt;text-align: justify;text-indent:36.0pt;line-height:normal;mso-layout-grid-align:none; text-autospace:none""><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,serif"">Penelitian ini bertujuan untuk mengetahui bagaimana hubungan <i>Social Coummunication</i> dan <i>Individual Innovation Capability</i> dengan Kemampuan Beradaptasi pada dunia kerja di Era Industri 4.0 pada Siswa SMK Kelas XII Program Teknik Elektronika Industri di Kota Malang.</span></p><p class=""MsoNormal"" style=""margin-bottom:0cm;margin-bottom:.0001pt;text-align: justify;text-indent:36.0pt;line-height:normal;mso-layout-grid-align:none; text-autospace:none""><span style=""text-indent: 36pt; font-size: 12pt; font-family: &quot;Times New Roman&quot;, serif;"">Penelitian ini merupakan jenis penelitian menggunakan metode <i>ex post facto </i>dengan rancangan deskriptif korelasional. Penelitian ini terdiri dari dua variabel bebas dan satu variabel terikat. Variabel bebas dalam penelitian ini yaitu </span><i style=""text-indent: 36pt; font-size: 1rem;""><span style=""font-size:12.0pt;font-family:&quot;Times New Roman Italic&quot;;mso-bidi-font-family: &quot;Times New Roman Italic&quot;"">social communication </span></i><span style=""text-indent: 36pt; font-size: 12pt; font-family: &quot;Times New Roman&quot;, serif;"">(X</span><span style=""text-indent: 36pt; font-size: 8pt; font-family: &quot;Times New Roman&quot;, serif;"">1</span><span style=""text-indent: 36pt; font-size: 12pt; font-family: &quot;Times New Roman&quot;, serif;"">) dan <i>individual innovation capability </i>(X</span><span style=""text-indent: 36pt; font-size: 8pt; font-family: &quot;Times New Roman&quot;, serif;"">2</span><span style=""text-indent: 36pt; font-size: 12pt; font-family: &quot;Times New Roman&quot;, serif;"">) sedangkan untuk variabel terikat dalam penelitian ini yaitu kemampuan beradaptasi pada dunia kerja di era industri 4.0 (Y). Populasi pada penelitian ini adalah siswa kompetensi keahlian TEI kelas XII SMK di Kota Malang. Pengumpulan data dilakukan menggunakan angket. Teknik analisis data menggunkan korelasi parsial dan regresi ganda.",Kurikulum Pendidikan Teknologi dan Kejuruan
